grid_id,node_id,distance,grid_lng,grid_lat,node_lng,node_lat
0,190140,0.1560239017035862,120.873575,30.705011,120.9842665,30.8149694
1,190140,0.14658957723115912,120.887325,30.705011,120.9842665,30.8149694
2,190140,0.13788283215400562,120.901075,30.705011,120.9842665,30.8149694
3,190140,0.13004988140252752,120.914825,30.705011,120.9842665,30.8149694
4,190140,0.12325742534553848,120.928575,30.705011,120.9842665,30.8149694
5,190140,0.11768576444417823,120.942325,30.705011,120.9842665,30.8149694
6,190140,0.11351480257134006,120.956075,30.705011,120.9842665,30.8149694
7,190140,0.11090269001611328,120.969825,30.705011,120.9842665,30.8149694
8,190140,0.10996057431102296,120.983575,30.705011,120.9842665,30.8149694
9,190140,0.11073108936883982,120.997325,30.705011,120.9842665,30.8149694
10,535303,0.10966811379981767,121.011075,30.705011,121.0182979,30.814441
11,535303,0.10962448601662912,121.024825,30.705011,121.0182979,30.814441
12,177921,0.10340956547752933,121.038575,30.705011,121.1030027,30.7858974
13,509772,0.09252843719209697,121.052325,30.705011,121.1299639,30.755347
14,509772,0.08133575129800742,121.066075,30.705011,121.1299639,30.755347
15,509772,0.07104661982959425,121.079825,30.705011,121.1299639,30.755347
16,509772,0.06211171338170093,121.093575,30.705011,121.1299639,30.755347
17,177894,0.05388594253234881,121.107325,30.705011,121.1365082,30.7503104
18,177894,0.04785623577549515,121.121075,30.705011,121.1365082,30.7503104
19,177890,0.04453575627796076,121.134825,30.705011,121.14263,30.7488575
20,177887,0.043595581562011515,121.148575,30.705011,121.1453712,30.7484887
21,177886,0.04661594146319155,121.162325,30.705011,121.1456349,30.7485367
22,177886,0.053113898826009365,121.176075,30.705011,121.1456349,30.7485367
23,435937,0.05846241752185295,121.189825,30.705011,121.2482855,30.7054845
24,435937,0.04471300719588691,121.203575,30.705011,121.2482855,30.7054845
25,435937,0.0309641205671904,121.217325,30.705011,121.2482855,30.7054845
26,435937,0.01721701229887654,121.231075,30.705011,121.2482855,30.7054845
27,435937,0.003492744264890059,121.244825,30.705011,121.2482855,30.7054845
28,295694,0.000620705445444645,121.258575,30.705011,121.25881,30.7055855
29,528303,0.0007880859407471165,121.272325,30.705011,121.2721014,30.7057667
30,454696,0.002411575578328567,121.286075,30.705011,121.2882164,30.7039019
31,454713,0.0017366287484655457,121.299825,30.705011,121.300294,30.7066831
32,454672,0.0008372369437604065,121.313575,30.705011,121.3127853,30.7047329
33,166196,0.00016583757112969644,121.327325,30.705011,121.3274053,30.7048659
34,295837,0.0019691321057754515,121.341075,30.705011,121.3396275,30.706346
35,290504,0.004175433678076878,121.354825,30.705011,121.3563122,30.7089126
36,290503,0.012238940968901744,121.368575,30.705011,121.357373,30.7099412
37,290502,0.025427078558889548,121.382325,30.705011,121.3573998,30.710038
38,60953,0.03766982346560393,121.396075,30.705011,121.3681433,30.7302862
39,216214,0.04373039404178512,121.409825,30.705011,121.3863838,30.7419279
40,216213,0.05227100460102303,121.423575,30.705011,121.3890016,30.7442148
41,216212,0.06127276605973187,121.437325,30.705011,121.397016,30.7511579
42,216364,0.05949145971801541,121.451075,30.705011,121.4546937,30.7643923
43,216364,0.060239372750553875,121.464825,30.705011,121.4546937,30.7643923
44,216364,0.06400355677132474,121.478575,30.705011,121.4546937,30.7643923
45,216363,0.0699687218125336,121.492325,30.705011,121.4589692,30.7665172
46,216363,0.07747237592897063,121.506075,30.705011,121.4589692,30.7665172
47,216363,0.08652422222753507,121.519825,30.705011,121.4589692,30.7665172
48,216363,0.09669042368342429,121.533575,30.705011,121.4589692,30.7665172
49,467949,0.10722073254823118,121.547325,30.705011,121.5010093,30.8017123
50,467950,0.11287017900034559,121.561075,30.705011,121.5094061,30.8053604
51,417709,0.11724047932915535,121.574825,30.705011,121.5699673,30.8221508
52,417710,0.11860710786293649,121.588575,30.705011,121.5701955,30.8221854
53,417710,0.12149956701819843,121.602325,30.705011,121.5701955,30.8221854
54,417711,0.12459378020704154,121.616075,30.705011,121.5915182,30.8271608
55,417711,0.12801556376581982,121.629825,30.705011,121.5915182,30.8271608
56,417712,0.1319164815807734,121.643575,30.705011,121.6146938,30.8337271
57,417712,0.13559223286254524,121.657325,30.705011,121.6146938,30.8337271
58,401536,0.1394429335560964,121.671075,30.705011,121.6546247,30.8434802
59,401536,0.14172430091106497,121.684825,30.705011,121.6546247,30.8434802
60,401553,0.14264918076154753,121.698575,30.705011,121.7001487,30.8476515
61,401553,0.14315926278778074,121.712325,30.705011,121.7001487,30.8476515
62,299073,0.1444732085017834,121.726075,30.705011,121.7475236,30.8478832
63,299073,0.14307946734175303,121.739825,30.705011,121.7475236,30.8478832
64,299072,0.14296006369507713,121.753575,30.705011,121.7523837,30.8479661
65,299071,0.1433061243412156,121.767325,30.705011,121.7641841,30.8482827
66,213105,0.14059250516723748,121.781075,30.705011,121.8309848,30.8364464
67,213105,0.13631872765397907,121.794825,30.705011,121.8309848,30.8364464
68,213105,0.1333321548209577,121.808575,30.705011,121.8309848,30.8364464
69,213105,0.13172037241520404,121.822325,30.705011,121.8309848,30.8364464
70,213104,0.13147850742946818,121.836075,30.705011,121.8386238,30.8364648
71,1673,0.1251359530949537,121.849825,30.705011,121.9747547,30.7121927
72,1673,0.11141141102679655,121.863575,30.705011,121.9747547,30.7121927
73,1673,0.09769402876829908,121.877325,30.705011,121.9747547,30.7121927
74,1673,0.08398731455988331,121.891075,30.705011,121.9747547,30.7121927
75,1674,0.07029300528686722,121.904825,30.705011,121.9748405,30.7112509
76,1674,0.056610448172218546,121.918575,30.705011,121.9748405,30.7112509
